,id_municipio,tratamento,coord,distancia,incluso
0,5200050,False,"(-0.2924700587444458, -0.8629117261370205)",279.869589690619,1
1,5200100,False,"(-0.28269097894552153, -0.8500748294886021)",317.6682559567117,1
2,5200134,False,"(-0.30361747667693356, -0.8792078653628914)",239.10840564885345,1
3,5200159,False,"(-0.28645565414207336, -0.8755566365677194)",193.79534340863907,1
4,5200175,False,"(-0.2614119247052067, -0.8339584591756866)",352.2229837782454,1
5,5200209,False,"(-0.31550491421226695, -0.8510277792601911)",311.3644443600393,1
6,5200258,False,"(-0.27509356071159025, -0.8426728881308941)",329.30461806761235,1
7,5200308,False,"(-0.280708284915256, -0.8466173322404014)",327.0240973336257,1
8,5200506,False,"(-0.30943291374457865, -0.8635348086799824)",281.74199886579316,1
9,5200555,False,"(-0.24779835653965093, -0.8611070556904583)",180.39092407540437,1
10,5200605,False,"(-0.24662374995305872, -0.8292059276225059)",377.2270214892015,1
11,5200803,False,"(-0.2527184397010229, -0.8114210225446837)",485.65462483835347,1
12,5200829,False,"(-0.24301266373068248, -0.8603809987216287)",190.8988440669057,1
13,5200852,False,"(-0.2836404380586065, -0.8723696653535777)",206.20439006165293,1
14,5200902,False,"(-0.28998820054810986, -0.8917218760996909)",126.44532457616839,1
15,5201108,False,"(-0.2849791055948861, -0.8543910287287841)",307.57421565972646,1
16,5201207,False,"(-0.3199869197313884, -0.8416047466286737)",346.0464989557711,1
17,5201306,False,"(-0.2873544987068504, -0.871996164893651)",216.0924302206584,1
18,5201405,False,"(-0.29356088952694226, -0.8595205514003954)",301.6077177161018,1
19,5201454,False,"(-0.31929227868909466, -0.8927638376631315)",110.0844492812093,1
20,5201504,False,"(-0.3309266434828888, -0.9062307981715197)",26.691076322904767,1
21,5201603,False,"(-0.28547128844394853, -0.8670865537077909)",240.48634873776484,1
22,5201702,False,"(-0.27742881125075863, -0.911711132022782)",3.321776110064395,1
23,5201801,False,"(-0.2951124872319652, -0.8630234272091482)",286.4620857781759,1
24,5202155,False,"(-0.26338589208921226, -0.883686380223509)",87.40715044514485,1
25,5202353,False,"(-0.285949508658995, -0.8998271851459525)",78.60855499443821,1
26,5202502,False,"(-0.2603437832029862, -0.8914269154561039)",59.0739877286276,1
27,5202601,False,"(-0.2910737953428503, -0.8807646990556705)",180.32034838182793,1
28,5202809,False,"(-0.28740685858441023, -0.8684391838780865)",236.50482806613405,1
29,5203104,False,"(-0.2826839976285136, -0.9169837716930568)",1.9520413559957923,1
30,5203203,False,"(-0.26120248519496736, -0.8536161025408987)",233.89673888388012,1
31,5203302,False,"(-0.29617015675867375, -0.8543613581315003)",337.08069457797706,1
32,5203401,False,"(-0.28285329456595704, -0.9105871399844976)",35.132503565120864,1
33,5203500,False,"(-0.31795186582356305, -0.8681267699419796)",222.57815957951254,1
34,5203559,False,"(-0.29002659779165374, -0.8545411270444556)",322.2670367043004,1
