id_municipio,latitude,longitude,fuso_horario,uf,regiao
5206305,-17.1987,-48.7034,America/Sao_Paulo,GO,Centro-Oeste
5206404,-14.5412,-49.974,America/Sao_Paulo,GO,Centro-Oeste
5206503,-17.2883,-49.3798,America/Sao_Paulo,GO,Centro-Oeste
5206602,-18.2644,-48.1511,America/Sao_Paulo,GO,Centro-Oeste
5206701,-14.5604,-46.178,America/Sao_Paulo,GO,Centro-Oeste
5206800,-16.2544,-49.3631,America/Sao_Paulo,GO,Centro-Oeste
5206909,-18.1501,-47.5568,America/Sao_Paulo,GO,Centro-Oeste
5207105,-16.2329,-51.2543,America/Sao_Paulo,GO,Centro-Oeste
5208301,-13.2853,-46.3999,America/Sao_Paulo,GO,Centro-Oeste
5207253,-16.7188,-52.3189,America/Sao_Paulo,GO,Centro-Oeste
5207352,-17.4239,-49.6644,America/Sao_Paulo,GO,Centro-Oeste
5207402,-17.3406,-49.9295,America/Sao_Paulo,GO,Centro-Oeste
5207501,-13.8665,-49.0716,America/Sao_Paulo,GO,Centro-Oeste
5207535,-15.4473,-50.3622,America/Sao_Paulo,GO,Centro-Oeste
5207600,-16.1834,-50.7781,America/Sao_Paulo,GO,Centro-Oeste
5207808,-16.5778,-50.304,America/Sao_Paulo,GO,Centro-Oeste
5207907,-14.4451,-47.0417,America/Sao_Paulo,GO,Centro-Oeste
5208004,-15.54,-47.337,America/Sao_Paulo,GO,Centro-Oeste
5208103,-13.6499,-48.8775,America/Sao_Paulo,GO,Centro-Oeste
5208152,-16.4854,-48.6454,America/Sao_Paulo,GO,Centro-Oeste
5208400,-16.5098,-49.0234,America/Sao_Paulo,GO,Centro-Oeste
5208509,-18.1352,-48.0875,America/Sao_Paulo,GO,Centro-Oeste
5208608,-15.3118,-49.1162,America/Sao_Paulo,GO,Centro-Oeste
5208707,-16.6864,-49.2643,America/Sao_Paulo,GO,Centro-Oeste
5208806,-16.4947,-49.427,America/Sao_Paulo,GO,Centro-Oeste
5208905,-15.9333,-50.14,America/Sao_Paulo,GO,Centro-Oeste
5209101,-18.0105,-49.3658,America/Sao_Paulo,GO,Centro-Oeste
5209150,-18.6238,-50.0805,America/Sao_Paulo,GO,Centro-Oeste
5209200,-16.8297,-49.5345,America/Sao_Paulo,GO,Centro-Oeste
5209291,-15.6121,-50.0265,America/Sao_Paulo,GO,Centro-Oeste
5209408,-13.9421,-46.4868,America/Sao_Paulo,GO,Centro-Oeste
5209457,-14.7292,-49.7006,America/Sao_Paulo,GO,Centro-Oeste
5209606,-15.719,-49.8268,America/Sao_Paulo,GO,Centro-Oeste
5209705,-16.9626,-49.2265,America/Sao_Paulo,GO,Centro-Oeste
5209804,-14.7261,-49.4634,America/Sao_Paulo,GO,Centro-Oeste
5209903,-14.1011,-46.6335,America/Sao_Paulo,GO,Centro-Oeste
5209937,-18.4869,-49.9888,America/Sao_Paulo,GO,Centro-Oeste
5209952,-17.1387,-49.9862,America/Sao_Paulo,GO,Centro-Oeste
5210000,-16.3611,-49.5001,America/Sao_Paulo,GO,Centro-Oeste
5210109,-17.7215,-48.1581,America/Sao_Paulo,GO,Centro-Oeste
5210158,-15.1689,-49.6695,America/Sao_Paulo,GO,Centro-Oeste
5210208,-16.4398,-51.118,America/Sao_Paulo,GO,Centro-Oeste
